Samples,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration,,,
2CH03G,REP,G6,Triatoma,sample,N,N,field,Tlecticularia,L6,L4_6,male,NA,3,Chaparral,TX,nest2,28.38067,-99.44571,7/14/2017,normal,2CH03G,NA,5.513,,,
2CH04G,REP,H6,Triatoma,sample,FALSE,Undetermined,field,Tlecticularia,L6,L4_6,male,NA,2,Chaparral,TX,nest2,28.38067,-99.44571,7/14/2017,normal,2CH04G,NA,25.551,,,
2CH06G,REP,A8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,-99.44571,7/14/2017,normal,2CH06G,NA,5.077,,,
2CH07G,REP,B8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,yes,3,Chaparral,TX,nest2,28.38067,-99.44571,7/14/2017,normal,2CH07G,NA,24.554,,,
2CH14A,REP,G8,Triatoma,sample,N,N,field,Tlecticularia,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,normal,2CH14A,NA,42.033,,,
2CH18G,REP,A7,Triatoma,sample,P,Tc2,field,Tlecticularia,L6,L4_6,male,NA,2,Chaparral,TX,nest2,28.38067,-99.44571,7/12/2017,normal,2CH18G,NA,25.947,,,
2CH28G,REP,B7,Triatoma,sample,N,N,field,Tlecticularia,L6,L4_6,male,NA,3,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH28G,NA,26.602,,,
2CH30G,REP,C8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,yes,3,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH30G,NA,11.875,,,
2CH35A,REP,H8,Triatoma,sample,N,N,field,Tlecticularia,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH35A,NA,35.779,,,
2CH36G,REP,D8,Triatoma,sample,N,N,field,Tlecticularia,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH36G,NA,19.44,,,
2CH39G,REP,C7,Triatoma,sample,N,N,field,Tlecticularia,L5,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH39G,NA,8.87,,,
2CH41G,REP,E7,Triatoma,sample,P,Tc1,field,Tlecticularia,L4,L4_6,NA,NA,3,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,normal,2CH41G,NA,63.088,,,
2CH42G,REP,F7,Triatoma,sample,N,N,field,Tlecticularia,L4,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,popped,2CH42G,NA,23.132,,,
2CH43G,REP,G7,Triatoma,sample,N,N,field,Tlecticularia,L4,L4_6,NA,yes,3,Chaparral,TX,nest2,28.38067,-99.44571,7/13/2017,yellow_faeces,2CH43G,NA,28.531,,,
