#SampleID,read after dec,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration
OV1,25599,NIC,H8,Triatoma,sample,N,NA,NA,Trubida,L6,L4_6,NA,NA,NA,Oro Valley,AZ,NA,32.429463,#FIELD!,13.6.2017,NA,OV1,211.95,34.116
T12,1195,NIC,D9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Oro Valley,AZ,houseIO,NA,NA,Unknown,NA,T12,87.54,1.588
T13,4015,NIC,E9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,SaguaroW,AZ,houseIO,NA,NA,Unknown,NA,T13,514.66,5.64
T14,24318,NIC,F3,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Tucson,AZ,houseIO,NA,NA,2017,NA,T14,151.21,40.734
T15,29100,NIC,F9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina_Foothills,AZ,houseIO,NA,NA,2017,NA,T15,29.83,37.861
T17,23210,NIC,H9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina_Foothills,AZ,houseIO,NA,NA,2017,NA,T17,115.035,54.64
T18,29315,NIC,A10,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina_Foothills,AZ,houseIO,NA,NA,2017,NA,T18,156.54,54.874
T26,12306,NIC,A11,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T26,135.33,19.686
LC12i2A2,825,1,B9,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC12i2A2,7.337,9.593
T27,30333,NIC,G3,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T27,97.29,48.413
T29,27614,NIC,C11,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T29,70.51,23.719
T3,17256,NIC,B9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Tucson,AZ,houseIO,NA,NA,Unknown,NA,T3,18.7,34.748
T37,29684,NIC,C12,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T37,51.82,14.89
T42,24339,NIC,H3,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,male,NA,NA,Tucson,AZ,houseIO,NA,NA,Unknown,NA,T42,14.53,9.019
LC11i2B1,487,2,H4,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC11i2B1,26.693,10.488
TU47i4A3,4251,1,F5,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest6,32.25526,#FIELD!,10.7.2018,NA,TU47i4A3,91.192,12.116
LC11i2A1,1112,2,G4,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC11i2A1,19.538,11.428
TU37i4C3,22335,2,E8,Triatoma,sample,P,TcMIX,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU37i4C3,22.98,24.265
TU39i4A1,22539,2,F8,Triatoma,sample,P,Tc1,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU39i4A1,142.42,30.506
TU48i4A1,7929,1,G5,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest6,32.25526,#FIELD!,10.7.2018,NA,TU48i4A1,115.871,14.692
TU64i4A2,1866,1,H6,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,2,UADS,AZ,nest8,32.25219,#FIELD!,11.7.2018,NA,TU64i4A2,64.869,11.682
TU74i4A1,4389,1,G7,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest11,32.25219,#FIELD!,12.7.2018,NA,TU74i4A1,51.203,18.93
TU2i4A3,8158,2,F6,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest2,32.25735,#FIELD!,8.7.2018,NA,TU2i4A3,31.836,26.671
TU36i4A3,10015,2,H7,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU36i4A3,17.725,30.327
TU36i4B3,3133,2,A8,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU36i4B3,102.299,9.834
TU36i4C3,7768,2,B8,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU36i4C3,54.725,13.741
TU37i4A3,3836,2,C8,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU37i4A3,122.161,15.522
TU3i4A3,1562,2,H6,Triatoma,sample,P,TcMIX,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest2,32.25735,#FIELD!,8.7.2018,NA,TU3i4A3,37.286,11.28
TU3i4B3,9252,2,A7,Triatoma,sample,P,TcMIX,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest2,32.25735,#FIELD!,8.7.2018,NA,TU3i4B3,180.777,19.913
TU37i4B3,12834,2,D8,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU37i4B3,24.591,20.527
TU39i4B1,21579,2,G8,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU39i4B1,103.488,30.324
TU30i3B3,1470,2,C7,Triatoma,sample,P,Tc1,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest3,32.25712,#FIELD!,9.7.2018,NA,TU30i3B3,30.598,16.603
TU30i3C3,4401,2,D7,Triatoma,sample,P,TcMIX,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest3,32.25712,#FIELD!,9.7.2018,NA,TU30i3C3,48.915,21.177
LC11i2C1,2366,2,A5,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC11i2C1,26.685,41.355
LC11i2D1,1069,2,B5,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC11i2D1,32.405,20.944
TU39i4C1,6344,2,H8,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU39i4C1,31.592,23.717
TU54i4A3,36705,2,B10,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,3,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU54i4A3,260.142,23.1
TU54i4B2,23438,2,C10,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,2,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU54i4B2,118.27,27.985
TU55i4A1,5442,2,D10,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU55i4A1,65.5,17.751
TU55i4B1,6101,2,E10,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU55i4B1,41.583,22.123
TU55i4C1,3056,2,F10,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU55i4C1,36.094,17.02
TU55i4D1,3772,2,G10,Triatoma,sample,N,N,field,Trubida,L4,L4_6,NA,yes,1,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU55i4D1,59.766,17.828
TU42i3A1,553,1,A5,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU42i3A1,28.344,9.277
TU73i3A0,945,1,F7,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,no,0,UADS,AZ,nest10,32.25457,#FIELD!,11.7.2018,NA,TU73i3A0,10.198,18.391
TU41i3A2,100,2,C9,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,2,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU41i3A2,363.304,27.179
TU56i3A3,272,2,H10,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU56i3A3,48.495,43.552
TU57i3C1,463,2,E11,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU57i3C1,41.421,9.072
LC28i2A1,3922,2,G5,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,1,LCNCA,AZ,nest4,31.76091,#FIELD!,6.7.2018,NA,LC28i2A1,10.952,21.179
TU57i3D1,686,2,F11,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU57i3D1,42.873,19.523
TU4i3A3,4103,1,B1,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest2,32.25735,#FIELD!,8.7.2018,NA,TU4i3A3,32.415,17.917
LC28i2B2,7702,2,H5,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest4,31.76091,#FIELD!,6.7.2018,NA,LC28i2B2,40.224,34.367
LC28i2C2,7288,2,A6,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest4,31.76091,#FIELD!,6.7.2018,NA,LC28i2C2,19.386,15.433
TU5i4A1,12961,1,C1,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest2,32.25735,#FIELD!,8.7.2018,NA,TU5i4A1,110.098,51.886
TU65i3A2,1206,1,A7,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,#FIELD!,11.7.2018,NA,TU65i3A2,NA,10.15
TU67i3A2,3192,1,C7,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,#FIELD!,11.7.2018,NA,TU67i3A2,18.577,12.221
TU30i3A3,2500,2,B7,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest3,32.25712,#FIELD!,9.7.2018,NA,TU30i3A3,82.71,17.02
TU30i3D3,14657,2,E7,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest3,32.25712,#FIELD!,9.7.2018,NA,TU30i3D3,75.374,25.19
TU30i3E3,2297,2,F7,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest3,32.25712,#FIELD!,9.7.2018,NA,TU30i3E3,58.111,22.769
TU30i3F3,17875,2,G7,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest3,32.25712,#FIELD!,9.7.2018,NA,TU30i3F3,17.484,27.537
TU40i3A3,2422,2,A9,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU40i3A3,183.608,17.023
T47,46348,LAST,D1,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2016,NA,T47,399.166,38.606
TU40i3B3,2792,2,B9,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU40i3B3,39.057,23.951
T49,56464,LAST,F1,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2017,NA,T49,155.626,37.417
T50,71410,LAST,G1,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2017,NA,T50,148.689,45.005
T51,93757,LAST,H1,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2017,NA,T51,177.235,42.928
T52,19503,LAST,A2,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,SaguaroW,AZ,houseIO,NA,NA,2017,NA,T52,121.954,15.429
TU41i3B2,1860,2,D9,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,2,UADS,AZ,nest4,32.25675,#FIELD!,9.7.2018,NA,TU41i3B2,213.252,18.218
TU50i3B3,19962,2,H9,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest6,32.25526,#FIELD!,10.7.2018,NA,TU50i3B3,68.514,43.749
TU56i3C3,5433,2,B11,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU56i3C3,10.921,14.175
TU57i3A1,2891,2,C11,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU57i3A1,25.491,14.095
B110,15135,NIC,C7,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B110,67.01,8.749
TU57i3B1,5293,2,D11,Triatoma,sample,N,N,field,Trubida,L3,L1_3,NA,yes,1,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU57i3B1,91.535,19.441
B112,3280,NIC,E7,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B112,251.235,48.676
B119,18834,NIC,F7,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2016,NA,B119,65.565,21.92
TU51i2A2,703,1,H5,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest6,32.25526,#FIELD!,10.7.2018,NA,TU51i2A2,33.924,10.958
B121,3454,NIC,G7,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2016,NA,B121,170.5,6.164
B126,17327,NIC,H7,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B126,62.15,14.517
B127,13891,NIC,A8,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B127,177.415,35.233
B13,49429,NIC,E4,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B13,344.54,50.756
B132,45082,NIC,B8,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B132,117.59,67.595
B135,30253,NIC,C8,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B135,104.61,46.893
TU68i2B2,736,2,D12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,#FIELD!,11.7.2018,NA,TU68i2B2,45.255,14.631
LC2i2A2,1888,2,E1,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC2i2A2,44.983,24.466
LC2i2C2,3878,2,G1,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC2i2C2,41.267,39.655
LC2i2D2,2946,2,H1,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC2i2D2,25.386,34.522
LC2i2E1,5594,2,A2,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,1,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC2i2E1,57.294,32.977
B161,21152,NIC,D8,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B161,125.49,51.22
LC33i2A3,1711,2,B6,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,3,LCNCA,AZ,nest5,31.76432,#FIELD!,6.7.2018,NA,LC33i2A3,132.827,12.875
LC33i2B3,4545,2,C6,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,3,LCNCA,AZ,nest5,31.76432,#FIELD!,6.7.2018,NA,LC33i2B3,86.715,11.673
LC33i2C3,1978,2,D6,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,3,LCNCA,AZ,nest5,31.76432,#FIELD!,6.7.2018,NA,LC33i2C3,136.092,15.911
B168,28967,NIC,G8,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B168,79.2,66.06
LC7i2A2,7822,2,F3,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC7i2A2,19.847,15.504
B20,28525,NIC,B5,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B20,63.81,44.552
LC7i2B2,3706,2,G3,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC7i2B2,19.85,23.85
LC7i2C2,2835,2,H3,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC7i2C2,1.45,15.021
B23,6067,NIC,E5,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B23,358.68,43.759
B24,16850,NIC,F5,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B24,319.39,43.556
B25,6813,NIC,G5,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B25,203.995,29.94
LC10i1A1,214,2,B4,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC10i1A1,37.052,8.156
LC10i1B1,275,2,C4,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC10i1B1,18.329,6.935
B28,17724,NIC,B6,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B28,86.585,37.704
B29,2188,NIC,C6,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Bisbee,AZ,houseIO,NA,NA,2017,NA,B29,552.455,7.404
LC10i1C1,499,2,D4,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC10i1C1,18.921,10.433
LC10i1D1,130,2,E4,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC10i1D1,19.81,11.037
LC10i1E1,77,2,F4,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,1,LCNCA,AZ,nest2,31.75919,#FIELD!,2.7.2018,NA,LC10i1E1,17.508,6.717
LC5i1A3,977,2,B3,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,3,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC5i1A3,32.911,9.512
TU60i2A3,2006,2,G11,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU60i2A3,56.443,15.518
TU60i2B3,1061,2,H11,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU60i2B3,54.033,18.704
TU60i2C3,3662,2,A12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,3,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU60i2C3,29.608,25.953
TU60i2D2,17688,2,B12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest7,32.2536,#FIELD!,10.7.2018,NA,TU60i2D2,186.596,27.674
TU68i2A2,1303,2,C12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,#FIELD!,11.7.2018,NA,TU68i2A2,24.462,17.189
TU68i2C2,2172,2,E12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,#FIELD!,11.7.2018,NA,TU68i2C2,31.933,15.95
TU68i2D2,3924,2,F12,Triatoma,sample,N,N,field,Trubida,L2,L1_3,NA,yes,2,UADS,AZ,nest8,32.25219,#FIELD!,11.7.2018,NA,TU68i2D2,7.654,17.019
LC1i1A2,3594,2,A1,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC1i1A2,251.331,14.343
LC1i1B2,1632,2,B1,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,2,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC1i1B2,109.904,27.332
LC1i1C0,1834,2,C1,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,no,0,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC1i1C0,9.401,18.786
T19,29737,NIC,B10,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina Fothills,AZ,houseIO,NA,NA,2017,NA,T19,60.88,61.356
T2,2232,NIC,A9,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,TucsonN,AZ,houseIO,NA,NA,2016,NA,T2,139.33,28.372
T20,40001,NIC,C10,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina Fothills,AZ,houseIO,NA,NA,2017,NA,T20,129.55,50.971
T21,27843,NIC,D10,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina Fothills,AZ,houseIO,NA,NA,2017,NA,T21,27.205,17.817
T22,9222,NIC,E10,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina Fothills,AZ,houseIO,NA,NA,2017,NA,T22,83.325,28.482
T25,663,NIC,H10,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T25,145.15,28.949
LC1i1D0,1390,2,D1,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,no,0,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC1i1D0,11.911,21.359
LC4i1A0,2841,2,G2,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,no,0,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC4i1A0,17.136,20.536
T28,35599,NIC,B11,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,TucsonN,AZ,houseIO,NA,NA,2017,NA,T28,103.15,40.825
LC4i1B0,1578,2,H2,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,no,0,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC4i1B0,15.358,21.177
LC4i1C0,1947,2,A3,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,no,0,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC4i1C0,67.929,12.117
T30,15456,NIC,D11,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T30,148.8,27.009
T34,15016,NIC,H11,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,male,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T34,134.285,42.474
T35,752,NIC,A12,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T35,106.495,36.241
T36,24372,NIC,B12,Triatoma,sample,P,NA,field,Trubida,L6,L4_6,female,NA,NA,Catalina,AZ,houseIO,NA,NA,2017,NA,T36,206.95,17.578
LC5i1B3,1056,2,C3,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,3,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC5i1B3,74.959,13.173
LC5i1D3,1220,2,E3,Triatoma,sample,N,N,field,Trubida,L1,L1_3,NA,yes,3,LCNCA,AZ,nest1,31.75895,#FIELD!,2.7.2018,NA,LC5i1D3,21.639,13.664
T6,248,NIC,C9,Triatoma,sample,N,NA,field,Trubida,L6,L4_6,female,NA,NA,Tucson,AZ,houseIO,NA,NA,2017,NA,T6,19.31,31.358
1L03A,8137,REP,C4,Triatoma,sample,N,N,field,Tsanguisuga,L4,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L03A,NA,58.873
1L04A,14357,REP,D4,Triatoma,sample,N,N,field,Tsanguisuga,L4,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L04A,NA,65.912
1L05A,3736,REP,E4,Triatoma,sample,N,N,field,Tsanguisuga,L4,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L05A,NA,64.173
1L07A,10423,REP,E3,Triatoma,sample,N,N,field,Tsanguisuga,L5,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L07A,NA,53.522
1L08A,7168,REP,F3,Triatoma,sample,N,N,field,Tsanguisuga,L5,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L08A,NA,46.81
1L09A,7394,REP,G3,Triatoma,sample,N,N,field,Tsanguisuga,L5,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L09A,NA,72.645
1L13A,8435,REP,E5,Triatoma,sample,N,N,field,Tsanguisuga,L3,L1_3,NA,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L13A,NA,56.542
