#SampleID,read after dec,Plate,Well_Position,Organism,Type,T_cruzi,TC_DTU,Origin,Host_Taxa,Instar,Instar_range,Sex,Engorged,Engorgement,Locality,State,Nest,Latitude,Longitude,date_sampled,note_appearance,Description,prePCR_concentration,postPCR_concentration
LC4C,12431,LAST,B5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC4C,8.26,28.415
LC4D,15516,LAST,C5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC4D,108.876,41.228
LC5A,8488,LAST,D5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC5A,50.302,18.385
LC5B,6589,LAST,E5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC5B,133.013,19.485
LC5C,4860,LAST,F5,Reduvius,sample,NA,NA,field,Rsp,L3,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC5C,116.457,20.837
LC6A,3917,LAST,G5,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC6A,21.249,31.103
LC6B,3007,LAST,H5,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC6B,28.359,32.22
LC6C,6169,LAST,A6,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC6C,25.328,17.533
LC6D,7995,LAST,B6,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC6D,27.644,21.376
LC6E,14507,LAST,C6,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC6E,16.568,22.623
LC6F,20453,LAST,D6,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC6F,NA,29.721
LC6G,6550,LAST,E6,Reduvius,sample,NA,NA,field,Rsp,L2,L1_3,NA,NA,NA,LCNCA,AZ,nest5,31.76432,#FIELD!,06/07/2018,NA,LC6G,7.42,20.767
1CB01A,2320,REP,D2,Triatoma,sample,P,Tc2,field,Tgerstaeckeri,L6,L4_6,female,no,NA,Camp_Bullis,TX,0,NA,NA,6/29/2017,NA,1CB01A,NA,44.635
1L01A,2235,REP,A1,Triatoma,sample,P,TcMIX,field,Tgerstaeckeri,L6,L4_6,male,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L01A,NA,42.286
1L02A,7379,REP,C6,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L02A,NA,24.773
1L06A,20895,REP,B1,Triatoma,sample,N,N,field,Tgerstaeckeri,L4,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L06A,NA,56.443
1L10A,19429,REP,C1,Triatoma,sample,N,N,field,Tgerstaeckeri,L5,L4_6,NA,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L10A,NA,63.728
1L14A,12833,REP,D1,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,no,NA,Lackland_AFB,TX,0,29.37695,#FIELD!,6/30/2017,NA,1L14A,NA,50.925
1W05A,99,REP,E2,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,NA,AFB,TX,0,NA,NA,NA,NA,1W05A,NA,85.495
2CH49G,25273,REP,D9,Triatoma,sample,N,N,field,Tgerstaeckeri,L5,L4_6,NA,yes,4,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,yellow_faeces,2CH49G,NA,27.745
2CH19G,3937,REP,G9,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH19G,NA,18.373
2CH20G,2892,REP,H9,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,0,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,green,2CH20G,NA,9.761
2CH22G,3927,REP,A10,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH22G,NA,15.018
2CH31G,1826,REP,B10,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,0,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,green,2CH31G,NA,18.216
2CH32G,2228,REP,C10,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH32G,NA,20.608
2CH08A,15253,REP,F10,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,whitish,2CH08A,NA,42.071
2CH16G,119,REP,E9,Triatoma,sample,FALSE,Undetermined,field,Tgerstaeckeri,L4,L4_6,NA,NA,1,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,weird,2CH16G,NA,18.202
2CH10A,12574,REP,G10,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,green,2CH10A,NA,64.151
2CH11A,3752,REP,H10,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,normal,2CH11A,NA,32.91
2CH13A,2081,REP,A11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,green,2CH13A,NA,7.327
2CH15A,4750,REP,B11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,green,2CH15A,NA,9.564
2CH26A,8442,REP,D11,Triatoma,sample,P,Tc1,field,Tgerstaeckeri,L2,L1_3,NA,no,NA,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH26A,NA,19.83
2CH27G,1629,REP,F9,Triatoma,sample,P,TcMIX,field,Tgerstaeckeri,L4,L4_6,NA,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH27G,NA,24.619
2CH29G,209,REP,C9,Triatoma,sample,N,N,field,Tgerstaeckeri,L5,L4_6,NA,no,2,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,normal,2CH29G,NA,17.679
2CH24A,10738,REP,C11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,green,2CH24A,NA,47.259
2CH37A,5702,REP,E11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,no,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,whitish,2CH37A,NA,24.667
2CH55A,7093,REP,F11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,green,2CH55A,NA,46.785
2CH56A,8746,REP,G11,Triatoma,sample,N,N,field,Tgerstaeckeri,L2,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,green,2CH56A,NA,42.307
2CH05A,5928,REP,C12,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,NA,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/14/2017,normal,2CH05A,NA,7.24
2CH53G,10996,REP,D10,Triatoma,sample,P,Tc2,field,Tgerstaeckeri,L3,L1_3,NA,NA,2,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH53G,NA,29.124
2CH54G,667,REP,E10,Triatoma,sample,N,N,field,Tgerstaeckeri,L3,L1_3,NA,NA,1,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,normal,2CH54G,NA,19.926
2CH12A,11405,REP,H11,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,green,2CH12A,NA,24.062
2CH48A,18491,REP,A12,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,yes,NA,Chaparral,TX,nest2,28.38067,#FIELD!,7/13/2017,whitish,2CH48A,NA,16.921
2CH57G,409,REP,B12,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,yes,2,Chaparral,TX,nest2,28.38067,#FIELD!,07/12/2017,green,2CH57G,NA,2.516
2L04A,11512,REP,E1,Triatoma,sample,P,Tc1,field,Tgerstaeckeri,L5,L4_6,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,2L04A,NA,150.552
3L01A,6464,REP,F1,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L01A,NA,18.042
3L02A,11019,REP,G1,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L02A,NA,22.834
3L03A,4917,REP,H1,Triatoma,sample,N,N,field,Tgerstaeckeri,L1,L1_3,NA,no,NA,Lackland_AFB,TX,0,NA,NA,6/30/2017,NA,3L03A,NA,28.958
