OTUs,Domain,Phylum,Class,Order,Family,Genus
OTU_724,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__Adhaeribacteruncultured Bacteroidetes bacterium
OTU_591,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae, D_5__Adhaeribacteruncultured Hymenobacter group bacterium
OTU_259,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae, D_5__AdvenellaAdvenella sp. enrichment culture clone CCNWSP33
OTU_4707,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae, D_5__AEGEAN-169 marine groupuncultured bacterium
OTU_1779,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae, D_5__AequorivitaAequorivita sp. KMM 6693
OTU_487,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae, D_5__AeribacillusGeobacillus sp. enrichment culture clone AK02
OTU_340,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae, D_5__Aerococcusuncultured bacterium
OTU_3739,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae, D_5__AeromicrobiumAeromicrobium sp. YS17
OTU_1245,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae, D_5__Aeromicrobiumuncultured bacterium
OTU_46,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae, D_5__Aeromonasuncultured bacterium
OTU_784,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae, D_5__Aeromonasuncultured gamma proteobacterium
OTU_3335,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis, D_5__AgaricicolaAgaricicola taiwanensis
OTU_2387,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis, D_5__Agaricicolauncultured bacterium
OTU_279,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis, D_5__Agaricicolauncultured bacterium
OTU_1305,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis, D_5__Agaricicolauncultured bacterium
OTU_1690,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis, D_5__Agaricicolauncultured bacterium
OTU_1768,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis, D_5__Agaricicolauncultured bacterium
OTU_4680,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis, D_5__Agaricicolauncultured bacterium
OTU_875,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae, D_5__Agreiauncultured bacterium
OTU_317,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae, D_5__AgrococcusAgrococcus carbonis
OTU_2074,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae, D_5__AgromycesAgromyces aurantiacus
OTU_521,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae, D_5__Akkermansiauncultured bacterium
OTU_2925,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae, D_5__Akkermansiauncultured bacterium
OTU_3617,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae, D_5__AKYG587uncultured bacterium
OTU_3495,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae, D_5__AKYG587uncultured bacterium
OTU_4152,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae, D_5__AKYG587uncultured bacterium
OTU_4017,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae, D_5__AKYG587uncultured bacterium
OTU_3799,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae, D_5__AKYG587uncultured bacterium
OTU_4164,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae, D_5__AKYG587uncultured planctomycete
OTU_895,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae, D_5__Alcaligenesuncultured bacterium
OTU_1454,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae, D_5__AlcanivoraxAlcanivorax sp. PN-3
OTU_3074,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae, D_5__Alcanivoraxuncultured bacterium
OTU_3234,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae, D_5__Algoriphagusuncultured bacterium
OTU_4425,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae, D_5__AlicyclobacillusAlicyclobacillus acidoterrestris ATCC 49025
OTU_5454,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae, D_5__Alicyclobacillusuncultured bacterium
OTU_3632,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured bacterium
OTU_957,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured bacterium
OTU_643,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured bacterium
OTU_1815,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured bacterium
OTU_923,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured bacterium
OTU_376,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured bacterium
OTU_4232,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured bacterium
OTU_4262,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured bacterium
OTU_4563,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured bacterium
OTU_3334,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured bacterium
OTU_3612,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured Bacteroidales bacterium
OTU_5363,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured organism
OTU_4481,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae, D_5__Alistipesuncultured Rikenellaceae bacterium
OTU_5074,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 2, D_5__Alkaliphilusuncultured bacterium
