OTUs,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_3567,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured bacterium
OTU_4024,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured Acidobacteria bacterium
OTU_3121,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Acidobacterium,uncultured bacterium
OTU_1097,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Terriglobus,uncultured bacterium
OTU_2433,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,uncultured bacterium
OTU_2917,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,uncultured Acidobacteria bacterium
OTU_1308,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Bryocella,uncultured bacterium
OTU_3261,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Bryocella,uncultured Acidobacteria bacterium
OTU_1464,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Edaphobacter,uncultured bacterium
OTU_2937,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,Granulicella paludicola
OTU_5651,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured bacterium
OTU_3680,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured bacterium
OTU_4165,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured Acidobacteria bacterium
OTU_5323,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured bacterium
OTU_2084,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured Acidobacteriaceae bacterium
OTU_4045,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured Acidobacteria bacterium
OTU_3687,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured bacterium
OTU_4277,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured bacterium
OTU_4438,Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),uncultured,uncultured Acidobacteria bacterium
OTU_1747,Bacteria,Acidobacteria,Acidobacteria,Subgroup 15,uncultured bacterium,,
OTU_2355,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured bacterium,
OTU_5360,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured Acidobacteria bacterium,
OTU_3635,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured Acidobacteria bacterium,
OTU_3714,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured bacterium,
OTU_1467,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured bacterium,
OTU_2307,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured bacterium,
OTU_5018,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured bacterium,
OTU_5309,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured bacterium,
OTU_5497,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured Acidobacteria bacterium,
OTU_2096,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured bacterium,
OTU_81,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured bacterium,
OTU_5536,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,24-Nov,uncultured bacterium,
OTU_3850,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,DS-100,uncultured Acidobacteria bacterium,
OTU_4961,Bacteria,Acidobacteria,Acidobacteria,Subgroup 4,DS-100,unidentified,
